rollout_index,global_step,reward_per_rollout,NightMinutes_per_rollout,OverCapMinutes_per_rollout,reward_per_step,NightMinutes_per_step,OverCapMinutes_per_step,policy_entropy,lambda1,lambda2,completed_episodes,selected_checkpoint_step
1,2048,1753.514735814192,735.5968899038998,179.4491514151593,0.8562083670967734,0.35917816889838855,0.08762165596443325,5.883633966324851,0.0,1.439369188700103,19,780288
2,4096,1600.4364281852936,628.4866341278534,105.79706474492824,0.7814630996998504,0.30687823932024094,0.05165872301998449,5.836868830956519,0.0,2.047770588900442,20,780288
3,6144,1736.989596234928,657.540630462273,82.91910004737443,0.848139451286586,0.32106476096790676,0.040487841820007045,5.808325011283159,0.0,2.3879070563883986,21,780288
4,8192,1705.0332031511557,552.1178134596503,85.39667022404075,0.8325357437261502,0.26958877610334486,0.041697592882832396,5.78228312288411,0.0,2.714671174812554,22,780288
5,10240,1634.529849049865,523.6577400813837,68.51084867432778,0.7981102778563794,0.25569225589911315,0.03345256282926161,5.76726945140399,0.0,2.8011880459645977,24,780288
6,12288,1684.581431113125,606.6167254268479,143.67541355837955,0.8225495269107056,0.2961995729623281,0.07015401052655251,5.7309724625665694,0.0,3.759770494187931,21,780288
7,14336,1712.4791377158947,602.7686231414368,96.3713935302926,0.8361714539628392,0.2943206167682797,0.04705634449721318,5.708373543340713,0.0,4.1482133645937065,23,780288
8,16384,1726.447567104528,655.4011158181286,102.29882687037912,0.8429919761252578,0.3200200760830706,0.0499505990578023,5.665352108189836,0.0,4.628633452530028,22,780288
9,18432,1724.3857241396142,586.7070332515506,92.9698010683438,0.841985216865046,0.2864780435798587,0.045395410677902245,5.648570361081511,0.0,5.064490882122455,21,780288
10,20480,1661.4198297224461,543.2143543458883,97.38105586647598,0.8112401512316632,0.26524138395795327,0.04754934368480272,5.610530748730525,0.0,5.461713425016782,23,780288
11,22528,1619.3552865972435,466.97990560779283,76.91782344168912,0.7907008235338103,0.2280175320350551,0.03755753097738727,5.57817765395157,0.0,5.62186233817021,23,780288
12,24576,1690.5517768867142,573.5525825931309,81.11970288233573,0.8254647348079659,0.2800549719693022,0.03960922992301549,5.5767032720614225,0.0,5.971565253446287,22,780288
13,26624,1678.2036105435664,620.015472533029,82.82966638734425,0.8194353567107258,0.30274192994776805,0.04044417304069543,5.555178485345095,0.0,6.367248045681402,19,780288
14,28672,1716.6853325703173,590.7566244471105,137.76654948188292,0.8382252600441003,0.2884553830308157,0.06726882298920064,5.548920153174549,0.0,7.319722270332015,19,780288
15,30720,1750.780086973691,587.0628150457952,164.83202769868117,0.8548730893426225,0.2866517651590797,0.08048438852474667,5.527178227901459,0.0,8.302946106303615,24,780288
16,32768,1751.2195179153912,523.2045671076446,127.36206282426882,0.8550876552321246,0.2554709800330296,0.06218850723841251,5.512540309224278,0.0,9.194030151941712,19,780288
17,34816,1763.8242104717608,703.6628526065855,86.8106288419608,0.8612422902694145,0.3435853772493093,0.042388002364238675,5.494704737793654,0.0,9.620669084173535,19,780288
18,36864,1708.1555815518207,671.3798432936608,94.83104840891754,0.8340603425545999,0.3278221891082328,0.04630422285591677,5.475962285185233,0.0,10.108260791212265,21,780288
19,38912,1719.4163705620942,617.5424047631291,161.60654363760648,0.8395587746885226,0.3015343773257466,0.07890944513555004,5.446081530302763,0.0,11.226276362275055,20,780288
20,40960,1701.01095631058,632.7160106692268,105.95720139672031,0.8305717560110254,0.3089433645845834,0.05173691474449234,5.4472174709662795,0.0,11.884759747057647,20,780288
21,43008,1785.4187534114744,813.8380005103826,140.02127253351756,0.8717865006891965,0.39738183618671025,0.06836976197925662,5.4304792860057205,0.0,12.83540322514388,20,780288
22,45056,1691.1440503422625,628.4698491946742,156.09058626285656,0.8257539308311829,0.306870043552087,0.07621610657366043,5.415146334096789,0.0,13.80483930755727,22,780288
23,47104,1725.8536245966216,608.8727107909898,118.16958010962313,0.8427019651350691,0.297301128315913,0.05769999028790192,5.396692143753171,0.0,14.300626701185312,25,780288
24,49152,1653.7075612004462,551.2422620366772,53.11985614367176,0.8074743951174054,0.2691612607600963,0.025937429757652227,5.378812567330897,0.0,14.312969246490036,23,780288
25,51200,1693.5212878273599,593.3842196796564,125.99594740646309,0.826914691321953,0.28973838851545725,0.061521458694562055,5.360368185909465,0.0,15.121992534303025,20,780288
26,53248,1598.6890418618166,473.2093956470479,45.05281649940375,0.7806098837215901,0.23105927521828512,0.021998445556349486,5.343339073471725,0.0,15.097958610138482,21,780288
27,55296,1671.3072906914567,652.9789162570781,101.89646102595842,0.8160680130329379,0.31883736145365144,0.04975413136033126,5.337648288113996,0.0,15.579341749269268,22,780288
28,57344,1601.820618078726,537.0770775879641,65.58112005433544,0.782138973671253,0.2622446667909981,0.03202203127653098,5.336692890385166,0.0,15.725964502514284,22,780288
29,59392,1662.5530474645811,505.01110241614225,71.80164324918893,0.811793480207315,0.24658745235163196,0.03505939611776803,5.320132291177288,0.0,15.874742282341915,24,780288
30,61440,1632.893470185148,485.34049905016974,66.71703639728224,0.7973112647388418,0.2369826655518407,0.03257667792836047,5.312371018575504,0.0,15.894352528284992,22,780288
31,63488,1714.8806809408454,571.1765320135529,92.73167897391627,0.8373440824906472,0.2788947910222426,0.045279140123982556,5.284311088500544,0.0,16.046960247550953,24,780288
32,65536,1691.9293457071637,508.2631797155755,68.29482901766418,0.826137375833576,0.24817538072049586,0.03334708448128134,5.269531476311386,0.0,16.50063068861464,23,780288
33,67584,1672.3710684057082,624.0989576679708,31.796147539051375,0.8165874357449747,0.30473581917381387,0.01552546266555243,5.249611465726048,0.0,16.32754968083571,23,780288
34,69632,1781.1047044750114,653.1924882924391,94.68483239037188,0.8696800314819392,0.3189416446740425,0.04623282831561127,5.223116714507341,0.0,16.7387516371356,22,780288
35,71680,1720.5206741116535,594.9200452750492,67.71896428950473,0.8400979854060808,0.29048830335695763,0.03306590053198473,5.251972455764189,0.0,16.904809337973063,22,780288
36,73728,1745.4731445767113,685.4089347958383,85.80518088548484,0.8522818088753473,0.3346723314432804,0.04189706097924065,5.237680341815576,0.0,17.205870133914214,20,780288
37,75776,1653.3141367787946,526.5947628921397,95.94604069771681,0.8072822933490208,0.2571263490684276,0.046848652684432036,5.213525317143649,0.0,17.7261937708852,22,780288
38,77824,1680.8331213782787,590.7862902300517,97.78689114118747,0.8207192975479877,0.2884698682763924,0.04774750544003294,5.19446043856442,0.0,18.165596261283415,22,780288
39,79872,1680.1412845615403,529.0621207806139,104.84611672376204,0.8203814866023146,0.25833111366240913,0.05119439293152443,5.188954506302252,0.0,18.638918177194977,22,780288
40,81920,1665.9558521455754,537.9665372560535,63.772471110604116,0.8134550059304567,0.26267897326955736,0.031138901909474666,5.227983991848305,0.0,18.729960750712436,23,780288
41,83968,1661.3846909243457,684.7425128247121,102.99941503180222,0.8112229936154032,0.33434693009019145,0.050292683120997175,5.228279790375382,0.0,19.308292603752797,21,780288
42,86016,1670.9695255077556,552.2423178211151,69.17451475027525,0.8159030886268338,0.26964956924859135,0.03377661853040784,5.221825015498325,0.0,19.412119474506056,25,780288
43,88064,1679.8618953806724,586.7109805319728,129.56368374202899,0.820245066103844,0.28647997096287736,0.06326351745216259,5.232087968615815,0.0,20.08919095544867,23,780288
44,90112,1710.1635016407556,620.3511479430309,72.48748553808413,0.8350407722855252,0.30290583395655807,0.03539428004789264,5.198069687699899,0.0,20.275988900829194,22,780288
45,92160,1666.7353704578447,592.016821164095,16.832580875722,0.8138356301063695,0.28907071345903074,0.008219033630723634,5.173496642149985,0.0,19.98741694711829,24,780288
46,94208,1667.2006474188402,607.0864726685431,75.40903174574869,0.8140628161224805,0.2964289417326871,0.03682081628210385,5.157671011518687,0.0,20.193578410701946,23,780288
47,96256,1708.6031231130332,593.3501190097367,80.92224676721891,0.8342788687075358,0.289721737797723,0.03951281580430611,5.141810059314594,0.0,20.51397902541883,21,780288
48,98304,1591.522077355628,559.4745853320728,52.20439895529218,0.7771103893338027,0.2731809498691762,0.02549042917738876,5.127264165319502,0.0,20.48264825989868,25,780288
49,100352,1743.494627423733,667.108015187715,90.8519873546345,0.8513157360467446,0.32573633554087644,0.04436132195050513,5.152168962173164,0.0,20.823096293994386,23,780288
50,102400,1690.805578862298,630.481787750212,76.98990230095845,0.8255886615538565,0.3078524354249082,0.03759272573288987,5.166353269247338,0.0,21.089555310287377,21,780288
51,104448,1671.0771870662966,557.7563857955752,104.59251061200351,0.8159556577472151,0.2723419852517457,0.05107056182226734,5.172832927200943,0.0,21.69035853011073,20,780288
52,106496,1670.3833690453255,574.9383029966206,79.77009918103006,0.8156168794166628,0.28073159326006863,0.038950243740737335,5.199358419748023,0.0,22.052112260010382,20,780288
53,108544,1671.691993538296,523.1230677642106,73.2547437838735,0.8162558562198711,0.2554311854317435,0.03576891786321948,5.193667700979859,0.0,22.212999210960387,24,780288
54,110592,1704.1985767760045,592.057937756053,107.86798500976985,0.8321282113164085,0.28909078991994774,0.052669914555551686,5.216997205046937,0.0,22.62569799450302,20,780288
55,112640,1744.152840781105,496.6693131626842,90.75568662630793,0.8516371292876489,0.2425143130677169,0.04431430011050192,5.208368030143902,0.0,23.197918461407898,22,780288
56,114688,1720.0880040958277,674.5781888194666,137.15349262990168,0.8398867207499159,0.3293838812595052,0.06696947882319418,5.20132067729719,0.0,24.16383341445916,18,780288
57,116736,1705.482337254768,626.2674348500321,48.027321926987966,0.8327550474876797,0.30579464592286726,0.023450840784662093,5.194182351464406,0.0,24.216761876165616,23,780288
58,118784,1764.3401155935492,617.6672002565706,87.37499157339838,0.8614941970671627,0.3015953126252786,0.042663570104198426,5.194356218911707,0.0,24.439307948712045,26,780288
59,120832,1678.4573683939402,523.2706125012018,82.85025492914173,0.8195592619111036,0.2555032287603524,0.040454226039619984,5.181714619277045,0.0,24.778788748407308,21,780288
60,122880,1643.2563383946192,591.5837083533277,87.54634692356845,0.8023712589817477,0.2888592325943983,0.04274723970877366,5.198236279422417,0.0,24.919429490094053,21,780288
61,124928,1691.0550995602935,543.5466759782066,88.53197921327967,0.8257104978321745,0.2654036503799837,0.043228505475234213,5.197274902835488,0.0,25.46208874109381,23,780288
62,126976,1720.9703305925739,609.4288053818931,84.21548089392637,0.8403175442346552,0.2975726588778775,0.041120840280237485,5.200009763473645,0.0,25.746848674727307,22,780288
63,129024,1661.3176928041769,583.6112942143501,48.884358553639636,0.8111902796895395,0.28496645225310063,0.023869315700019354,5.188932485878468,0.0,25.715644634003638,25,780288
