rollout_index,global_step,reward_per_rollout,NightMinutes_per_rollout,OverCapMinutes_per_rollout,reward_per_step,NightMinutes_per_step,OverCapMinutes_per_step,policy_entropy,lambda1,lambda2,completed_episodes,selected_checkpoint_step
1,2048,1686.0086731805397,486.56029146794947,0.0,0.8232464224514354,0.2375782673183347,0.0,5.883473820518702,0.0,0.0,59,61440
2,4096,1779.3221738600953,493.61405453050577,0.0,0.8688096552051247,0.24102248756372352,0.0,5.840414897305891,0.0,0.0,60,61440
3,6144,1748.2523205225184,499.0966146689851,0.0,0.8536388283801359,0.2436995188813404,0.0,5.806437005987391,0.0,0.0,66,61440
4,8192,1771.5838916709065,507.64781030462524,0.0,0.8650311971049348,0.2478749073753053,0.0,5.776413494255394,0.0,0.0,57,61440
5,10240,1690.8414348255965,433.01802072890115,0.0,0.8256061693484358,0.21143458043403376,0.0,5.748856430640444,0.0,0.0,70,61440
6,12288,1665.6627694114811,500.1961198761014,0.0,0.8133118991266998,0.24423638665825265,0.0,5.732434903271496,0.0,0.0,63,61440
7,14336,1800.4720008834493,510.02314177885836,0.0,0.8791367191813717,0.24903473719670818,0.0,5.73671615938656,0.0,0.0,64,61440
8,16384,1738.9017244578413,489.22219892558456,0.0,0.8490731076454303,0.2388780268191331,0.0,5.720687925582752,0.0,0.0,68,61440
9,18432,1730.565607757322,472.26263709008737,0.0,0.8450027381627548,0.23059699076664422,0.0,5.701813063118607,0.0,0.0,63,61440
10,20480,1788.136549224987,496.92610456852384,0.0,0.8731135494262632,0.24263969949634953,0.0,5.696911321254447,0.0,0.0,58,61440
11,22528,1761.9895021429454,526.3425580432079,0.0,0.8603464365932351,0.2570032021695351,0.0,5.668777260929346,0.0,0.0,61,61440
12,24576,1716.5868088749446,549.1539183854889,0.0,0.838177152770969,0.2681415617116645,0.0,5.655679867602885,0.0,0.0,65,61440
13,26624,1683.0042570063251,463.17571909818736,0.0,0.8217794223663697,0.2261600190909118,0.0,5.645263337995857,0.0,0.0,70,61440
